22,311,2918,4.816215515136719,Comedy
47,311,2019,4.731722354888916,Action|Drama
80,311,1276,4.650997638702393,Comedy|Drama
147,311,1208,4.52615213394165,Drama|War
181,311,3429,4.499099254608154,Animation|Comedy
217,311,1303,4.462798118591309,Adventure
278,311,1358,4.399338722229004,Drama|Thriller
307,311,1131,4.376758098602295,Drama
343,311,1362,4.350091934204102,Drama
409,311,2940,4.309927940368652,Film-Noir
420,311,2565,4.30206823348999,Musical
500,311,180,4.249372959136963,Comedy
523,311,1414,4.23143196105957,Comedy
562,311,1960,4.207923889160156,Drama|War
616,311,1127,4.184959411621094,Action|Adventure|Sci-Fi|Thriller
664,311,36,4.157670021057129,Drama
693,311,2594,4.141674041748047,Drama|Romance|Sci-Fi
701,311,1419,4.137797832489014,Drama
730,311,587,4.125316143035889,Comedy|Romance|Thriller
745,311,2236,4.11761474609375,Drama
815,311,1206,4.080190658569336,Sci-Fi
869,311,2318,4.0518670082092285,Comedy
872,311,523,4.0517120361328125,Drama
923,311,2970,4.029788494110107,Adventure|Drama
1032,311,538,3.980201244354248,Drama
1067,311,778,3.963343381881714,Drama
1084,311,848,3.953530788421631,Drama
1098,311,608,3.9476096630096436,Crime|Drama|Thriller
1104,311,2863,3.944105386734009,Comedy|Musical
1185,311,170,3.9039788246154785,Action|Crime|Thriller
1211,311,635,3.889974355697632,Comedy|Drama
1216,311,3197,3.887420892715454,Action
1235,311,2011,3.878352642059326,Comedy|Sci-Fi
1280,311,3643,3.8556108474731445,Action|Drama|War
1294,311,1835,3.8512234687805176,Romance
1315,311,3270,3.8433473110198975,Drama
1412,311,2344,3.795227289199829,Action|Adventure|Drama|Thriller
1459,311,251,3.7753539085388184,Action
1482,311,1811,3.7628400325775146,Drama
1495,311,68,3.7572734355926514,Comedy|Romance
1528,311,124,3.7414674758911133,Drama
1534,311,252,3.7377874851226807,Comedy|Romance
1571,311,852,3.720672369003296,Comedy|Romance
1625,311,3786,3.689049482345581,Comedy
1722,311,3221,3.641824722290039,Drama
2031,311,1780,3.4675071239471436,Documentary
2034,311,1883,3.4613444805145264,Comedy
2100,311,1582,3.424943685531616,Adventure|Children's
2107,311,2885,3.418938159942627,Drama|Romance
2120,311,273,3.4128148555755615,Drama|Horror
2134,311,1801,3.404376983642578,Action|Drama|Romance
2145,311,3247,3.396043300628662,Comedy|Crime
2154,311,1487,3.392348289489746,Drama|Musical
2252,311,550,3.3244266510009766,Comedy|Romance
2276,311,1911,3.308910846710205,Comedy
2328,311,3484,3.2758755683898926,Thriller
